拼多多财务部<!sp>CFO首席财务官<!sp>60k-90k<!sp>上海<!sp>经验10年以上<!sp>'金融,总监,并购,税务,融资'<!sp>1天前<!sp>拉勾网<!sp>'高薪,时间宽松,高层'<!sp>''<!sp>上海 - 长宁区 - 天山路 - 娄山关路533号金虹桥国际中心28楼北楼
麦子金服财务中心<!sp>CFO<!sp>90k-100k<!sp>上海<!sp>经验10年以上<!sp>'总监,税务,融资,财务'<!sp>11:50<!sp>拉勾网<!sp>'午餐补助,扁平管理,技能培训,岗位晋升等'<!sp>''<!sp>上海 - 浦东新区 - 塘桥 - 浦建路76号由由国际大厦12楼
青墨科技财务部<!sp>财务总监<!sp>20k-35k<!sp>上海<!sp>经验5-10年<!sp>'移动互联网,广告营销,总监,银行,税务,财务'<!sp>13:46<!sp>拉勾网<!sp>'发展前景大,福利活动多,股票期权'<!sp>'熟悉法律法规,逻辑思维能力,职业操守,领导能力,抗压能力,责任心,工作激情'<!sp>上海 - 闸北区 - 共和新路1988号大宁国际商业广场10座12层
亲宝宝财务部<!sp>财务总监<!sp>25k-40k<!sp>杭州<!sp>经验5-10年<!sp>'金融,副总裁,总监,并购,税务,财务'<!sp>10:19<!sp>拉勾网<!sp>'期权激励,氛围轻松,B轮机会,福利超多'<!sp>''<!sp>杭州 - 西湖区 - 紫荆花路2号联合大厦B座3F亲宝宝
恒峰信息财务部<!sp>财务总监<!sp>25k-40k<!sp>广州<!sp>经验10年以上<!sp>'税收,高新技术,上市,CFO'<!sp>14:01<!sp>拉勾网<!sp>'五险一金,包餐,年度调薪,班车接送'<!sp>'执行能力,领导能力,熟悉法律法规,钻研能力,逻辑思维能力,专业素质良好,主动性,能出差,学习能力,团队协作能力,职业操守,思想品质,责任心,创新能力'<!sp>广州 - 萝岗区 - 广州市黄埔区科学大道231号总部经济区A9栋8~11层
X-MEN董事会<!sp>CFO<!sp>60k-100k<!sp>广州<!sp>经验5-10年<!sp>'理财,总监,税务,资产管理,财务'<!sp>13:44<!sp>拉勾网<!sp>'发挥空间大,背景雄厚,股份,分红'<!sp>'服务意识,逻辑思维能力,沟通表达能力,熟悉法律法规,设计能力,英语基础,文案能力,钻研能力,常用办公软件的使用'<!sp>广州 - 天河区 - 东圃 - 东圃一横路23号时代TITA座419
趣理财财务部<!sp>财务总监<!sp>15k-30k<!sp>杭州<!sp>经验5-10年<!sp>'总监,银行,会计,税务,融资,财务'<!sp>11:24<!sp>拉勾网<!sp>'五险一金,节假日福利,定期体检,餐补等'<!sp>'逻辑思维能力,钻研能力,领导能力,熟悉法律法规,专业素质良好,思想品质,责任心'<!sp>杭州 - 西湖区 - 黄龙时代广场A座19楼
INK 银客集团集团事业部<!sp>CFO<!sp>90k-100k<!sp>北京<!sp>经验5-10年<!sp>'总监,银行,融资,资产管理,上市,财务'<!sp>1天前<!sp>拉勾网<!sp>'七险一金,年底多薪,团队大牛,前景广阔'<!sp>'领导能力,团队协作能力,熟悉法律法规,逻辑思维能力,沟通表达能力'<!sp>北京 - 海淀区 - 中关村互联网金融中心15层
小象生活财务部<!sp>财务总监<!sp>10k-15k<!sp>上海<!sp>经验3-5年<!sp>'总监,税务,审计,成本,财务,风控'<!sp>15:06<!sp>拉勾网<!sp>'精英团队,期权激励,绩效奖金,创业带你飞'<!sp>'逻辑思维能力,执行能力,领导能力,熟悉法律法规,抗压能力,团队协作能力'<!sp>上海 - 徐汇区 - 漕河泾 - 虹漕路421号62号楼3楼303室
捷通华声财务部<!sp>财务总监<!sp>25k-50k<!sp>北京<!sp>经验5-10年<!sp>'总监,金融,财务'<!sp>14:23<!sp>拉勾网<!sp>'五险一金,绩效奖金,技术大拿多,氛围好'<!sp>'熟悉法律法规,领导能力'<!sp>北京 - 海淀区 - 中关村软件园2A楼2101
药帮忙财务部<!sp>财务总监<!sp>10k-20k<!sp>武汉<!sp>经验5-10年<!sp>'总监,金融,税务,融资,财务'<!sp>1天前<!sp>拉勾网<!sp>'高层职位,平台广阔,发展空间大,团队氛围好'<!sp>'逻辑思维能力,执行能力,熟悉法律法规,常用办公软件的使用,领导能力,沟通表达能力,团队协作能力'<!sp>武汉 - 东湖新技术开发区 - 光谷金融港A2栋9楼
享换机财务部<!sp>财务总监<!sp>25k-40k<!sp>上海<!sp>经验5-10年<!sp>'总监,金融,融资,财务,资产管理'<!sp>1天前<!sp>拉勾网<!sp>'独角兽,发展潜力,有期权,福利好'<!sp>'逻辑思维能力,钻研能力,团队协作能力,领导能力,良好的职业背景,熟悉法律法规,专业素质良好,人脉资源,抗压能力,工作激情,沟通表达能力,开拓精神,创新能力'<!sp>上海 - 杨浦区 - 五角场 - 政学路51号创智天地企业中心
畅享信息运营中心<!sp>财务总监<!sp>10k-15k<!sp>厦门<!sp>经验5-10年<!sp>'总监,统计,税务,财务'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,高温补贴,员工旅游,过节费'<!sp>'逻辑思维能力,领导能力,钻研能力,熟悉法律法规,沟通表达能力,专业素质良好,思想品质,责任心,职业操守'<!sp>厦门 - 湖里区 - 禾山 - 门市火炬高新区创业园伟业楼S506(361000)
安徽机器猫财务部<!sp>财务总监<!sp>8k-15k<!sp>合肥<!sp>经验3-5年<!sp>'总监,金融,税务,财务'<!sp>10:58<!sp>拉勾网<!sp>'待遇高,福利好,上升空间大,双休'<!sp>'领导能力,逻辑思维能力,熟悉法律法规,常用办公软件的使用,团队协作能力'<!sp>合肥 - 瑶海区 - 三里街 - 长江东路915号春晖大厦4楼
众托帮财务部<!sp>CFO<!sp>30k-40k<!sp>上海<!sp>经验5-10年<!sp>'总监,金融,并购,融资'<!sp>3天前<!sp>拉勾网<!sp>'期权,大平台'<!sp>'设计能力,钻研能力,执行能力,逻辑思维能力,沟通表达能力,团队协作能力,熟悉法律法规,人脉资源,专业素质良好,抗压能力,工作激情'<!sp>上海 - 虹口区 - 平凉路 - 杨树浦路128-138号星外滩5号楼8楼
INK 银客集团未指定部门<!sp>CFO<!sp>90k-100k<!sp>北京<!sp>经验10年以上<!sp>'银行,总监,融资,助理,财务'<!sp>1天前<!sp>拉勾网<!sp>'晋升空间大,团队氛围好,福利待遇高,午餐下午茶'<!sp>'领导能力,团队协作能力,熟悉法律法规,逻辑思维能力,沟通表达能力'<!sp>北京 - 海淀区 - 中关村 - 互联网金融中心15层1503
中化能源互联网科技综合<!sp>财务总监<!sp>30k-60k<!sp>北京<!sp>经验5-10年<!sp>'总监,金融,融资,财务,资产管理,电商'<!sp>14:20<!sp>拉勾网<!sp>'充分授权,管理简化,体制创新,目标导向'<!sp>'逻辑思维能力,专业素质良好,熟悉法律法规,领导能力,常用办公软件的使用,沟通表达能力,团队协作能力,创新能力'<!sp>北京 - 海淀区 - 中关村海淀北二街10号 泰鹏大厦11层
55海淘财务部<!sp>财务总监<!sp>20k-30k<!sp>上海<!sp>经验5-10年<!sp>'总监,经理,税务,财务,资产管理'<!sp>1天前<!sp>拉勾网<!sp>'平台大,发展快,氛围佳'<!sp>'责任心,团队协作能力,熟悉法律法规,逻辑思维能力,钻研能力,执行能力,良好的职业背景,专业素质良好,抗压能力,沟通表达能力'<!sp>上海 - 徐汇区 - 宜山路1388号民润大厦3号楼5层
苏州同济金融科技研究院财务部<!sp>财务总监<!sp>15k-25k<!sp>苏州<!sp>经验10年以上<!sp>'总监,金融,融资,财务'<!sp>1天前<!sp>拉勾网<!sp>'国资背景,区块链,金融科技'<!sp>'逻辑思维能力,熟悉法律法规,专业素质良好,职业操守,思想品质,应变能力,沟通表达能力'<!sp>苏州 - 相城区 - 元和 - 青龙港路66号兆润大厦12楼
医和你综合管理部<!sp>财务总监<!sp>18k-25k<!sp>广州<!sp>经验5-10年<!sp>'总监,经理,税务,财务,医疗健康'<!sp>18:05<!sp>拉勾网<!sp>'合伙人,行业前景,互联网医疗'<!sp>'逻辑思维能力,钻研能力,领导能力,沟通表达能力,开拓精神,创新能力,团队协作能力'<!sp>广州 - 天河区 - 津滨腾越大厦
远丰集团财务部<!sp>财务总监<!sp>12k-15k<!sp>上海<!sp>经验3-5年<!sp>'总监,银行,税务,财务'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,带薪年假,绩效奖金,节日福利'<!sp>'专业素质良好,熟悉法律法规,思想品质,责任心,学习能力,服务意识,团队协作能力,常用办公软件的使用'<!sp>上海 - 松江区 - 新桥 - 上海漕河泾开发区松江高科技园莘砖公路668号22层
游卡桌游财务部<!sp>财务总监<!sp>20k-35k<!sp>杭州<!sp>经验5-10年<!sp>'总监,银行,税务,融资,财务'<!sp>1天前<!sp>拉勾网<!sp>'好发展,五险一金,弹性工作,丰厚奖金'<!sp>'逻辑思维能力,领导能力,专业素质良好,责任心,沟通表达能力'<!sp>杭州 - 西湖区 - 天堂软件园E幢10楼
数夫软件总经办<!sp>财务总监<!sp>11k-22k<!sp>东莞<!sp>经验5-10年<!sp>'总监,金融,并购,融资,财务'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,年终奖金,员工旅游,员工体检'<!sp>'领导能力,逻辑思维能力,专业素质良好,文案能力,熟悉法律法规'<!sp>东莞 - 东莞市市辖区 - 东莞市南城区周溪隆溪路5号高盛科技大厦19楼（全层）
傲银科技财务部<!sp>财务总监<!sp>25k-35k<!sp>广州<!sp>经验10年以上<!sp>'总监,金融,融资,财务'<!sp>2天前<!sp>拉勾网<!sp>'挑战空间大,福利齐全,期权奖金,发展前景'<!sp>'熟悉法律法规,逻辑思维能力,钻研能力,良好的职业背景,领导能力,团队协作能力,领悟能力'<!sp>广州 - 海珠区 - 琶洲 - 琶洲保利叁悦广场C塔1009
玛瑙湾财务部<!sp>财务总监<!sp>15k-30k<!sp>杭州<!sp>经验5-10年<!sp>'总监,税务,财务'<!sp>1天前<!sp>拉勾网<!sp>'双休,期权,六险一金,15薪'<!sp>'执行能力,逻辑思维能力,领导能力,良好的职业背景,职业操守,思想品质,责任心,沟通表达能力,团队协作能力'<!sp>杭州市市市 - 拱墅区 - 古墩路 - 杭州市丰潭路508号天行国际
小罗恶搞文化传媒财务部<!sp>财务总监<!sp>8k-12k<!sp>沈阳<!sp>经验5-10年<!sp>'总监,金融,审核,税务,财务,资产管理'<!sp>1天前<!sp>拉勾网<!sp>'环境轻松,福利多,高薪'<!sp>'熟悉法律法规,执行能力,领导能力,逻辑思维能力,钻研能力,抗压能力,沟通表达能力,团队协作能力'<!sp>沈阳 - 沈河区 - 文化路 - 青年大街185号 茂业中心
粉星时尚财务部<!sp>财务总监<!sp>10k-20k<!sp>广州<!sp>经验3-5年<!sp>'总监,金融,财务'<!sp>10:03<!sp>拉勾网<!sp>'五险一金,餐补,节日福利,年终奖'<!sp>'时尚,逻辑思维能力,执行能力,熟悉法律法规,领导能力,专业素质良好,思想品质,责任心,钻研能力,创新能力,团队协作能力'<!sp>广州 - 越秀区 - 东湖 - 289艺术创意园
rupiahplus运营<!sp>财务总监<!sp>40k-80k<!sp>上海<!sp>经验5-10年<!sp>'总监,金融,税务,财务'<!sp>1天前<!sp>拉勾网<!sp>'公司前景好,大牛多,出国机会'<!sp>'逻辑思维能力,执行能力,主动性,专业素质良好,沟通表达能力,学习能力,团队协作能力,思想品质,自我管理能力,抗压能力,应变能力'<!sp>上海 - 徐汇区 - 徐家汇 - 虹桥路355号
壹加壹国际物流财务中心<!sp>财务总监<!sp>10k-20k<!sp>东莞<!sp>经验5-10年<!sp>'总监,金融,税务,财务,电商,物流'<!sp>2天前<!sp>拉勾网<!sp>'财务总监'<!sp>'熟悉法律法规,领导能力,逻辑思维能力'<!sp>东莞 - 东莞市市辖区 - 虎门镇北栅东坊路东方大厦15楼
鸿略财务部<!sp>财务总监<!sp>15k-30k<!sp>杭州<!sp>经验5-10年<!sp>'总监,金融,融资,财务'<!sp>3天前<!sp>拉勾网<!sp>'薪酬福利多,项目前景广,上身空间大'<!sp>'逻辑思维能力,领导能力,熟悉法律法规,职业操守,思想品质,责任心,执行能力'<!sp>杭州 - 滨江区 - 西兴 - 诚高大厦
玩途旅行财务部<!sp>财务总监<!sp>14k-25k<!sp>上海<!sp>经验10年以上<!sp>'总监,统计,税务,信息安全,财务,旅游'<!sp>17:40<!sp>拉勾网<!sp>'发展空间大'<!sp>'执行能力,领导能力,沟通表达能力,逻辑思维能力'<!sp>上海 - 长宁区 - 虹桥 - 中山西路930号云都虹桥大厦11楼B座
搜于特信息科技财务部<!sp>财务总监<!sp>20k-25k<!sp>东莞<!sp>经验5-10年<!sp>'总监,金融,并购,税务,融资,财务'<!sp>11:40<!sp>拉勾网<!sp>'上市公司,股权激励'<!sp>'逻辑思维能力,执行能力'<!sp>东莞 - 东莞市市辖区 - 道滘镇昌平第二工业区
广州健联财务部<!sp>财务总监<!sp>10k-15k<!sp>广州<!sp>经验3-5年<!sp>'总监,银行,资产,融资,财务,风控'<!sp>1天前<!sp>拉勾网<!sp>'周末双休,五险一金,年底分红,年度旅游'<!sp>'领导能力,熟悉法律法规,逻辑思维能力'<!sp>广州 - 白云区 - 棠景 - 棠景街道棠安路美晨路鱿鱼街1号楼3三楼
聚励云机械财务部<!sp>财务总监<!sp>15k-25k<!sp>杭州<!sp>经验5-10年<!sp>'总监,统计,税务,财务'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,股票期权,周末双休'<!sp>'逻辑思维能力,领导能力,服务意识,沟通表达能力,执行能力,常用办公软件的使用,思想品质,抗压能力,责任心,团队协作能力'<!sp>杭州市 - 余杭区 - 仓前 - 文一西路998号海创园18
咿啦看书财务部<!sp>财务总监<!sp>15k-25k<!sp>郑州<!sp>经验10年以上<!sp>'总监,税务筹划,子公司管理,财务体系,IPO,融资'<!sp>2018-01-19<!sp>拉勾网<!sp>'双休,弹性工时,发展空间大,团队氛围佳'<!sp>'领导能力,钻研能力,沟通表达能力,逻辑思维能力,熟悉法律法规,专业素质良好,思想品质,责任心,团队协作能力'<!sp>郑州 - 高新区 - 秦岭路 - 国家大学科技园（东区）8号楼3层
惠龙易通财务部<!sp>财务总监<!sp>30k-50k<!sp>南京<!sp>经验5-10年<!sp>'总监,金融,银行,融资,资产管理,财务'<!sp>2018-01-08<!sp>拉勾网<!sp>'五险一金,节日福利,免费班车,免费住宿'<!sp>'领导能力,逻辑思维能力,专业素质良好,常用办公软件的使用,熟悉法律法规,钻研能力,领悟能力,团队协作能力,责任心,职业操守'<!sp>工作地址
学堂在线财务部<!sp>财务总监<!sp>30k-40k<!sp>北京<!sp>经验5-10年<!sp>'总监,金融,银行,融资,财务'<!sp>1天前<!sp>拉勾网<!sp>'MOOC,五险一金,免费早餐'<!sp>'开拓精神,熟悉法律法规,逻辑思维能力,领导能力,团队协作能力,英语基础'<!sp>北京 - 海淀区 - 中关村 - 清华清华科技园科建大厦7层
徐工信息财务管理部<!sp>财务总监<!sp>25k-35k<!sp>徐州<!sp>经验5-10年<!sp>'总监,税务,融资,财务'<!sp>14:14<!sp>拉勾网<!sp>'五险一金,新三板上市,免费班车,带薪年假'<!sp>'熟悉法律法规,钻研能力,逻辑思维能力,领导能力,执行能力,专业素质良好,职业操守,思想品质,文案能力,应变能力,沟通表达能力,团队协作能力'<!sp>徐州 - 鼓楼区 - 经济开发区科技路6号
阿优文化财务部<!sp>财务总监<!sp>16k-32k<!sp>杭州<!sp>经验10年以上<!sp>'总监,银行,税务,财务,教育'<!sp>3天前<!sp>拉勾网<!sp>'发展平台,利益共享,股权激励,氛围好'<!sp>'逻辑思维能力,熟悉法律法规,执行能力,钻研能力,思想品质,沟通表达能力,团队协作能力,应变能力'<!sp>杭州市 - 萧山区 - 湘湖路 - 浙江省文化创意产业实验区
PKFARE比客财务部<!sp>CFO/财务高级经理<!sp>30k-60k<!sp>深圳<!sp>经验5-10年<!sp>'支付,银行,总监,税务,财务,旅游'<!sp>15:30<!sp>拉勾网<!sp>'全球化业务,公司发展快,工作氛围好'<!sp>'逻辑思维能力,团队协作能力,领导能力,熟悉法律法规,领悟能力,沟通表达能力,职业操守,英语基础'<!sp>深圳 - 南山区 - 深圳市南山区科技南十二路迈瑞大厦D栋副楼6层C01
引导美集团财务部<!sp>财务总监<!sp>20k-40k<!sp>深圳<!sp>经验10年以上<!sp>'总监,银行,融资,财务'<!sp>1天前<!sp>拉勾网<!sp>'期权股权,投资分红,员工福利,旅游拓展'<!sp>'专业素质良好,逻辑思维能力,钻研能力,创新能力,领悟能力,熟悉法律法规,领导能力,常用办公软件的使用,团队协作能力,责任心,职业操守'<!sp>深圳 - 福田区 - 竹子林 - 紫竹七道一号博园商务大厦九楼（园博园正门旁）
笨鸟社交财务部<!sp>财务总监<!sp>10k-15k<!sp>厦门<!sp>经验5-10年<!sp>'总监,AR,统计,税务,财务'<!sp>2018-01-18<!sp>拉勾网<!sp>'高新企业,牛人多,扁平化,五险一金'<!sp>'钻研能力,逻辑思维能力,熟悉法律法规,执行能力,常用办公软件的使用,抗压能力,责任心,沟通表达能力'<!sp>厦门 - 思明区 - 莲前 - 前埔路国金广场B栋601
透云科技财务部<!sp>财务总监<!sp>20k-30k<!sp>上海<!sp>经验5-10年<!sp>'总监,金融,税务,财务'<!sp>09:59<!sp>拉勾网<!sp>'互联网,上市,新零售,FMCG'<!sp>'沟通表达能力,执行能力,领导能力,逻辑思维能力,团队协作能力,熟悉法律法规,专业素质良好,思想品质,钻研能力,人际交往能力,责任心,创新能力'<!sp>上海 - 静安区 - 光复路581号
Hellobike哈罗单车财务部<!sp>财务总监<!sp>25k-50k<!sp>上海<!sp>经验5-10年<!sp>'总监,经理,并购,融资,资产管理,财务'<!sp>1天前<!sp>拉勾网<!sp>'行业劲爆,团队性感,薪资待遇优,发展不受限'<!sp>'逻辑思维能力,文案能力,开拓精神,执行能力,领导能力,熟悉法律法规'<!sp>上海 - 闵行区 - 秀文路898号西子国际中心
融之家财务部<!sp>财务总监<!sp>20k-30k<!sp>上海<!sp>经验5-10年<!sp>'总监,副总裁,财务'<!sp>1天前<!sp>拉勾网<!sp>'定期团建,零食水果,年度旅游,福利多多'<!sp>'领导能力,执行能力,逻辑思维能力,团队协作能力,责任心,思想品质,沟通表达能力,常用办公软件的使用'<!sp>上海 - 杨浦区 - 五角场 - 上海市杨浦区政府路18号波司登大厦14楼
惠龙易通财务部<!sp>财务总监<!sp>30k-50k<!sp>苏州<!sp>经验5-10年<!sp>'总监,金融,银行,融资,资产管理,财务'<!sp>2018-01-08<!sp>拉勾网<!sp>'五险一金,节日福利,免费班车,免费住宿'<!sp>'领导能力,逻辑思维能力,专业素质良好,常用办公软件的使用,熟悉法律法规,钻研能力,领悟能力,团队协作能力,责任心,职业操守'<!sp>工作地址
PKFARE比客财务部<!sp>财务总监<!sp>30k-60k<!sp>深圳<!sp>经验5-10年<!sp>'总监,支付,银行,税务,财务'<!sp>15:30<!sp>拉勾网<!sp>'全球化业务,公司发展快,工作氛围好'<!sp>'逻辑思维能力,团队协作能力,领导能力,熟悉法律法规,领悟能力,沟通表达能力,职业操守,英语基础'<!sp>深圳 - 南山区 - 深圳市南山区科技南十二路迈瑞大厦D栋副楼6层C01
触宝科技财务<!sp>财务总监<!sp>30k-60k<!sp>上海<!sp>经验5-10年<!sp>'US GAAP,总监,AI CPA,财务,会计'<!sp>1天前<!sp>拉勾网<!sp>'行业独角兽,水果下午茶,老大专业'<!sp>'逻辑思维能力,执行能力,熟悉法律法规,思想品质,领导能力,抗压能力,责任心,应变能力,沟通表达能力,英语基础'<!sp>上海 - 徐汇区 - 漕宝路 - 虹梅路2007号7号楼
司全称 四川共享共创商贸有限公司财务部<!sp>财务总监<!sp>6k-12k<!sp>成都<!sp>经验5-10年<!sp>'总监,金融,银行,融资,财务'<!sp>15:10<!sp>拉勾网<!sp>'发展空间大'<!sp>'逻辑思维能力,钻研能力,团队协作能力,领导能力,责任心,思想品质,职业操守'<!sp>成都 - 武侯区 - 环球中心N5 906
网上车市财务部<!sp>财务总监<!sp>25k-50k<!sp>北京<!sp>经验10年以上<!sp>'媒体,广告营销,总监,银行,融资,资产管理'<!sp>10:47<!sp>拉勾网<!sp>'扁平化,空间大'<!sp>'逻辑思维能力,领导能力,熟悉法律法规,专业素质良好,思想品质,公关能力'<!sp>北京 - 朝阳区 - 太阳宫 - 太阳宫中路12号太阳宫大厦603
诸葛找房财务部<!sp>财务总监<!sp>30k-45k<!sp>北京<!sp>经验3-5年<!sp>'总监,金融,税务,融资,财务'<!sp>14:34<!sp>拉勾网<!sp>'六险一金,一日三餐,住房、交通补贴'<!sp>'熟悉法律法规,团队协作能力'<!sp>北京 - 朝阳区 - 大山子 - 酒仙桥路甲16号新港大厦B座506室
妈妈去哪儿财务部<!sp>财务总监<!sp>15k-20k<!sp>杭州<!sp>经验5-10年<!sp>'总监,金融,税务,财务'<!sp>09:17<!sp>拉勾网<!sp>'五险一金,期权激励'<!sp>'逻辑思维能力,钻研能力,执行能力,领导能力,专业素质良好,思想品质,责任心,沟通表达能力,团队协作能力,创新能力'<!sp>杭州 - 滨江区 - 长河 - 长河路475号和瑞科技园T2--13层
